id,snapshot_date,category_tag_id,category_name,region,open_count,new_count,closed_count,is_demo
1,2026-07-14,517,HR,서울,215,10,2,0
2,2026-07-13,517,HR,서울,219,6,7,1
3,2026-07-12,517,HR,서울,216,12,3,1
4,2026-07-11,517,HR,서울,217,5,4,1
5,2026-07-10,517,HR,서울,217,5,3,1
6,2026-07-09,517,HR,서울,215,9,4,1
7,2026-07-08,517,HR,서울,213,11,2,1
8,2026-07-07,517,HR,서울,208,10,4,1
9,2026-07-06,517,HR,서울,214,12,4,1
10,2026-07-05,517,HR,서울,221,5,8,1
11,2026-07-04,517,HR,서울,219,11,7,1
12,2026-07-03,517,HR,서울,219,13,5,1
13,2026-07-02,517,HR,서울,218,12,6,1
14,2026-07-01,517,HR,서울,212,9,7,1
15,2026-07-14,518,개발,서울,1966,43,33,0
16,2026-07-13,518,개발,서울,2000,46,34,1
17,2026-07-12,518,개발,서울,2066,64,60,1
18,2026-07-11,518,개발,서울,2088,73,34,1
19,2026-07-10,518,개발,서울,2128,122,63,1
20,2026-07-09,518,개발,서울,2109,57,67,1
21,2026-07-08,518,개발,서울,2168,76,86,1
22,2026-07-07,518,개발,서울,2144,91,65,1
23,2026-07-06,518,개발,서울,2087,107,35,1
24,2026-07-05,518,개발,서울,2168,71,39,1
25,2026-07-04,518,개발,서울,2219,128,81,1
26,2026-07-03,518,개발,서울,2252,104,49,1
27,2026-07-02,518,개발,서울,2180,84,39,1
28,2026-07-01,518,개발,서울,2225,94,40,1
29,2026-07-14,523,마케팅·광고,서울,1675,73,62,0
30,2026-07-13,523,마케팅·광고,서울,1689,49,67,1
31,2026-07-12,523,마케팅·광고,서울,1687,40,19,1
32,2026-07-11,523,마케팅·광고,서울,1742,79,59,1
33,2026-07-10,523,마케팅·광고,서울,1753,40,38,1
34,2026-07-09,523,마케팅·광고,서울,1686,69,66,1
35,2026-07-08,523,마케팅·광고,서울,1638,34,52,1
36,2026-07-07,523,마케팅·광고,서울,1615,67,29,1
37,2026-07-06,523,마케팅·광고,서울,1597,39,37,1
38,2026-07-05,523,마케팅·광고,서울,1603,93,58,1
39,2026-07-04,523,마케팅·광고,서울,1634,65,25,1
40,2026-07-03,523,마케팅·광고,서울,1582,87,30,1
41,2026-07-02,523,마케팅·광고,서울,1564,69,23,1
42,2026-07-01,523,마케팅·광고,서울,1532,64,51,1
43,2026-07-14,521,법률·법집행기관,서울,75,3,1,0
44,2026-07-13,521,법률·법집행기관,서울,76,2,3,1
45,2026-07-12,521,법률·법집행기관,서울,74,4,1,1
46,2026-07-11,521,법률·법집행기관,서울,77,4,3,1
47,2026-07-10,521,법률·법집행기관,서울,79,3,1,1
48,2026-07-09,521,법률·법집행기관,서울,78,4,1,1
49,2026-07-08,521,법률·법집행기관,서울,78,3,1,1
50,2026-07-07,521,법률·법집행기관,서울,75,3,1,1
51,2026-07-06,521,법률·법집행기관,서울,75,4,1,1
52,2026-07-05,521,법률·법집행기관,서울,76,5,2,1
53,2026-07-04,521,법률·법집행기관,서울,77,3,1,1
54,2026-07-03,521,법률·법집행기관,서울,78,3,2,1
55,2026-07-02,521,법률·법집행기관,서울,80,2,1,1
56,2026-07-01,521,법률·법집행기관,서울,79,2,3,1
57,2026-07-14,511,디자인,서울,587,32,7,0
58,2026-07-13,511,디자인,서울,600,28,10,1
59,2026-07-12,511,디자인,서울,618,35,17,1
60,2026-07-11,511,디자인,서울,619,32,21,1
61,2026-07-10,511,디자인,서울,635,15,15,1
62,2026-07-09,511,디자인,서울,639,25,20,1
63,2026-07-08,511,디자인,서울,630,37,8,1
64,2026-07-07,511,디자인,서울,635,21,23,1
65,2026-07-06,511,디자인,서울,648,18,15,1
66,2026-07-05,511,디자인,서울,652,20,11,1
67,2026-07-04,511,디자인,서울,631,24,23,1
68,2026-07-03,511,디자인,서울,628,14,25,1
69,2026-07-02,511,디자인,서울,612,36,23,1
70,2026-07-01,511,디자인,서울,595,16,15,1
71,2026-07-14,507,경영·비즈니스,서울,1460,42,32,0
72,2026-07-13,507,경영·비즈니스,서울,1513,53,60,1
73,2026-07-12,507,경영·비즈니스,서울,1542,79,36,1
74,2026-07-11,507,경영·비즈니스,서울,1552,90,62,1
75,2026-07-10,507,경영·비즈니스,서울,1545,75,23,1
76,2026-07-09,507,경영·비즈니스,서울,1571,92,43,1
77,2026-07-08,507,경영·비즈니스,서울,1565,78,18,1
78,2026-07-07,507,경영·비즈니스,서울,1555,62,55,1
79,2026-07-06,507,경영·비즈니스,서울,1599,93,20,1
80,2026-07-05,507,경영·비즈니스,서울,1640,72,50,1
81,2026-07-04,507,경영·비즈니스,서울,1675,42,61,1
82,2026-07-03,507,경영·비즈니스,서울,1710,75,49,1
83,2026-07-02,507,경영·비즈니스,서울,1721,75,44,1
84,2026-07-01,507,경영·비즈니스,서울,1663,47,52,1
85,2026-07-14,530,영업,서울,781,23,17,0
86,2026-07-13,530,영업,서울,770,25,15,1
87,2026-07-12,530,영업,서울,755,17,18,1
88,2026-07-11,530,영업,서울,726,43,9,1
89,2026-07-10,530,영업,서울,743,23,28,1
90,2026-07-09,530,영업,서울,721,40,15,1
91,2026-07-08,530,영업,서울,742,40,23,1
92,2026-07-07,530,영업,서울,735,44,22,1
93,2026-07-06,530,영업,서울,765,40,15,1
94,2026-07-05,530,영업,서울,755,43,11,1
95,2026-07-04,530,영업,서울,779,19,21,1
96,2026-07-03,530,영업,서울,794,35,25,1
97,2026-07-02,530,영업,서울,813,37,15,1
98,2026-07-01,530,영업,서울,814,46,29,1
99,2026-07-14,518,개발,경기,338,8,8,0
100,2026-07-13,518,개발,경기,344,7,11,1
101,2026-07-12,518,개발,경기,340,10,11,1
102,2026-07-11,518,개발,경기,339,13,3,1
103,2026-07-10,518,개발,경기,351,19,13,1
104,2026-07-09,518,개발,경기,350,19,10,1
105,2026-07-08,518,개발,경기,360,9,7,1
106,2026-07-07,518,개발,경기,349,18,13,1
107,2026-07-06,518,개발,경기,338,10,6,1
108,2026-07-05,518,개발,경기,349,18,13,1
109,2026-07-04,518,개발,경기,352,16,5,1
110,2026-07-03,518,개발,경기,340,19,13,1
111,2026-07-02,518,개발,경기,332,18,4,1
112,2026-07-01,518,개발,경기,326,11,12,1
113,2026-07-14,510,고객서비스·리테일,서울,604,31,22,0
114,2026-07-13,510,고객서비스·리테일,서울,589,18,20,1
115,2026-07-12,510,고객서비스·리테일,서울,608,33,22,1
116,2026-07-11,510,고객서비스·리테일,서울,622,33,15,1
117,2026-07-10,510,고객서비스·리테일,서울,632,33,11,1
118,2026-07-09,510,고객서비스·리테일,서울,657,18,13,1
119,2026-07-08,510,고객서비스·리테일,서울,639,37,12,1
120,2026-07-07,510,고객서비스·리테일,서울,631,23,25,1
121,2026-07-06,510,고객서비스·리테일,서울,630,36,8,1
122,2026-07-05,510,고객서비스·리테일,서울,607,16,24,1
123,2026-07-04,510,고객서비스·리테일,서울,618,15,14,1
124,2026-07-03,510,고객서비스·리테일,서울,607,20,17,1
125,2026-07-02,510,고객서비스·리테일,서울,607,21,17,1
126,2026-07-01,510,고객서비스·리테일,서울,619,30,6,1
127,2026-07-14,510,고객서비스·리테일,경기,63,4,2,0
128,2026-07-13,510,고객서비스·리테일,경기,62,3,2,1
129,2026-07-12,510,고객서비스·리테일,경기,63,1,2,1
130,2026-07-11,510,고객서비스·리테일,경기,63,2,2,1
131,2026-07-10,510,고객서비스·리테일,경기,62,2,1,1
132,2026-07-09,510,고객서비스·리테일,경기,63,2,1,1
133,2026-07-08,510,고객서비스·리테일,경기,65,2,2,1
134,2026-07-07,510,고객서비스·리테일,경기,64,4,2,1
135,2026-07-06,510,고객서비스·리테일,경기,65,3,1,1
136,2026-07-05,510,고객서비스·리테일,경기,66,2,2,1
137,2026-07-04,510,고객서비스·리테일,경기,65,3,2,1
138,2026-07-03,510,고객서비스·리테일,경기,67,3,2,1
139,2026-07-02,510,고객서비스·리테일,경기,65,2,1,1
140,2026-07-01,510,고객서비스·리테일,경기,65,3,1,1
141,2026-07-14,10101,교육,서울,42,2,1,0
142,2026-07-13,10101,교육,서울,41,1,1,1
143,2026-07-12,10101,교육,서울,43,1,1,1
144,2026-07-11,10101,교육,서울,42,1,1,1
145,2026-07-10,10101,교육,서울,41,1,1,1
146,2026-07-09,10101,교육,서울,41,1,1,1
147,2026-07-08,10101,교육,서울,43,2,1,1
148,2026-07-07,10101,교육,서울,45,2,1,1
149,2026-07-06,10101,교육,서울,43,2,0,1
150,2026-07-05,10101,교육,서울,44,2,1,1
151,2026-07-04,10101,교육,서울,43,2,2,1
152,2026-07-03,10101,교육,서울,43,2,2,1
153,2026-07-02,10101,교육,서울,42,2,1,1
154,2026-07-01,10101,교육,서울,41,2,2,1
155,2026-07-14,522,제조·생산,경기,34,2,1,0
156,2026-07-13,522,제조·생산,경기,35,1,1,1
157,2026-07-12,522,제조·생산,경기,34,1,1,1
158,2026-07-11,522,제조·생산,경기,35,1,1,1
159,2026-07-10,522,제조·생산,경기,35,1,1,1
160,2026-07-09,522,제조·생산,경기,36,1,1,1
161,2026-07-08,522,제조·생산,경기,36,1,1,1
162,2026-07-07,522,제조·생산,경기,36,1,1,1
163,2026-07-06,522,제조·생산,경기,36,2,1,1
164,2026-07-05,522,제조·생산,경기,35,2,1,1
165,2026-07-04,522,제조·생산,경기,36,1,1,1
166,2026-07-03,522,제조·생산,경기,35,2,1,1
167,2026-07-02,522,제조·생산,경기,35,2,1,1
168,2026-07-01,522,제조·생산,경기,35,1,1,1
169,2026-07-14,513,엔지니어링·설계,서울,135,5,1,0
170,2026-07-13,513,엔지니어링·설계,서울,137,6,3,1
171,2026-07-12,513,엔지니어링·설계,서울,141,5,2,1
172,2026-07-11,513,엔지니어링·설계,서울,139,3,3,1
173,2026-07-10,513,엔지니어링·설계,서울,138,3,4,1
174,2026-07-09,513,엔지니어링·설계,서울,143,6,2,1
175,2026-07-08,513,엔지니어링·설계,서울,144,4,3,1
176,2026-07-07,513,엔지니어링·설계,서울,141,5,5,1
177,2026-07-06,513,엔지니어링·설계,서울,137,4,2,1
178,2026-07-05,513,엔지니어링·설계,서울,143,6,6,1
179,2026-07-04,513,엔지니어링·설계,서울,145,7,5,1
180,2026-07-03,513,엔지니어링·설계,서울,143,7,6,1
181,2026-07-02,513,엔지니어링·설계,서울,146,3,2,1
182,2026-07-01,513,엔지니어링·설계,서울,151,7,4,1
183,2026-07-14,511,디자인,제주,4,0,0,0
184,2026-07-13,511,디자인,제주,4,0,0,1
185,2026-07-12,511,디자인,제주,4,0,0,1
186,2026-07-11,511,디자인,제주,4,0,0,1
187,2026-07-10,511,디자인,제주,4,0,0,1
188,2026-07-09,511,디자인,제주,4,0,0,1
189,2026-07-08,511,디자인,제주,4,0,0,1
190,2026-07-07,511,디자인,제주,4,0,0,1
191,2026-07-06,511,디자인,제주,4,0,0,1
192,2026-07-05,511,디자인,제주,4,0,0,1
193,2026-07-04,511,디자인,제주,4,0,0,1
194,2026-07-03,511,디자인,제주,4,0,0,1
195,2026-07-02,511,디자인,제주,4,0,0,1
196,2026-07-01,511,디자인,제주,4,0,0,1
197,2026-07-14,532,물류·무역,서울,103,3,4,0
198,2026-07-13,532,물류·무역,서울,103,4,2,1
199,2026-07-12,532,물류·무역,서울,101,3,4,1
200,2026-07-11,532,물류·무역,서울,98,2,4,1
201,2026-07-10,532,물류·무역,서울,100,4,3,1
202,2026-07-09,532,물류·무역,서울,101,2,4,1
203,2026-07-08,532,물류·무역,서울,104,3,4,1
204,2026-07-07,532,물류·무역,서울,105,6,3,1
205,2026-07-06,532,물류·무역,서울,107,2,4,1
206,2026-07-05,532,물류·무역,서울,111,5,3,1
207,2026-07-04,532,물류·무역,서울,109,5,3,1
208,2026-07-03,532,물류·무역,서울,109,6,1,1
209,2026-07-02,532,물류·무역,서울,111,5,2,1
210,2026-07-01,532,물류·무역,서울,110,4,3,1
211,2026-07-14,10566,정보보호,경기,13,0,0,0
212,2026-07-13,10566,정보보호,경기,13,1,0,1
213,2026-07-12,10566,정보보호,경기,13,0,0,1
214,2026-07-11,10566,정보보호,경기,14,1,0,1
215,2026-07-10,10566,정보보호,경기,14,0,0,1
216,2026-07-09,10566,정보보호,경기,14,1,0,1
217,2026-07-08,10566,정보보호,경기,14,0,0,1
218,2026-07-07,10566,정보보호,경기,15,0,0,1
219,2026-07-06,10566,정보보호,경기,14,0,1,1
220,2026-07-05,10566,정보보호,경기,14,1,0,1
221,2026-07-04,10566,정보보호,경기,14,1,1,1
222,2026-07-03,10566,정보보호,경기,14,1,0,1
223,2026-07-02,10566,정보보호,경기,14,0,1,1
224,2026-07-01,10566,정보보호,경기,14,1,0,1
225,2026-07-14,530,영업,경기,96,2,3,0
226,2026-07-13,530,영업,경기,100,3,3,1
227,2026-07-12,530,영업,경기,101,6,1,1
228,2026-07-11,530,영업,경기,99,4,3,1
229,2026-07-10,530,영업,경기,101,4,2,1
230,2026-07-09,530,영업,경기,102,6,4,1
231,2026-07-08,530,영업,경기,103,5,3,1
232,2026-07-07,530,영업,경기,101,6,2,1
233,2026-07-06,530,영업,경기,104,5,2,1
234,2026-07-05,530,영업,경기,107,2,1,1
235,2026-07-04,530,영업,경기,107,5,2,1
236,2026-07-03,530,영업,경기,109,5,3,1
237,2026-07-02,530,영업,경기,110,5,4,1
238,2026-07-01,530,영업,경기,107,5,3,1
239,2026-07-14,515,의료·제약·바이오,경기,25,1,1,0
240,2026-07-13,515,의료·제약·바이오,경기,25,1,1,1
241,2026-07-12,515,의료·제약·바이오,경기,24,1,0,1
242,2026-07-11,515,의료·제약·바이오,경기,25,1,1,1
243,2026-07-10,515,의료·제약·바이오,경기,25,1,1,1
244,2026-07-09,515,의료·제약·바이오,경기,25,1,1,1
245,2026-07-08,515,의료·제약·바이오,경기,25,1,0,1
246,2026-07-07,515,의료·제약·바이오,경기,25,1,0,1
247,2026-07-06,515,의료·제약·바이오,경기,26,2,1,1
248,2026-07-05,515,의료·제약·바이오,경기,26,2,1,1
249,2026-07-04,515,의료·제약·바이오,경기,25,1,0,1
250,2026-07-03,515,의료·제약·바이오,경기,25,1,1,1
251,2026-07-02,515,의료·제약·바이오,경기,24,1,1,1
252,2026-07-01,515,의료·제약·바이오,경기,24,1,0,1
253,2026-07-14,523,마케팅·광고,경기,102,3,2,0
254,2026-07-13,523,마케팅·광고,경기,101,5,2,1
255,2026-07-12,523,마케팅·광고,경기,99,3,4,1
256,2026-07-11,523,마케팅·광고,경기,97,4,2,1
257,2026-07-10,523,마케팅·광고,경기,98,3,4,1
258,2026-07-09,523,마케팅·광고,경기,99,4,4,1
259,2026-07-08,523,마케팅·광고,경기,98,4,2,1
260,2026-07-07,523,마케팅·광고,경기,100,3,3,1
261,2026-07-06,523,마케팅·광고,경기,99,5,2,1
262,2026-07-05,523,마케팅·광고,경기,99,6,2,1
263,2026-07-04,523,마케팅·광고,경기,97,2,4,1
264,2026-07-03,523,마케팅·광고,경기,96,3,1,1
265,2026-07-02,523,마케팅·광고,경기,96,4,1,1
266,2026-07-01,523,마케팅·광고,경기,92,5,2,1
267,2026-07-14,510,고객서비스·리테일,강원,2,0,0,0
268,2026-07-13,510,고객서비스·리테일,강원,2,0,0,1
269,2026-07-12,510,고객서비스·리테일,강원,2,0,0,1
270,2026-07-11,510,고객서비스·리테일,강원,2,0,0,1
271,2026-07-10,510,고객서비스·리테일,강원,2,0,0,1
272,2026-07-09,510,고객서비스·리테일,강원,2,0,0,1
273,2026-07-08,510,고객서비스·리테일,강원,2,0,0,1
274,2026-07-07,510,고객서비스·리테일,강원,2,0,0,1
275,2026-07-06,510,고객서비스·리테일,강원,2,0,0,1
276,2026-07-05,510,고객서비스·리테일,강원,2,0,0,1
277,2026-07-04,510,고객서비스·리테일,강원,2,0,0,1
278,2026-07-03,510,고객서비스·리테일,강원,2,0,0,1
279,2026-07-02,510,고객서비스·리테일,강원,2,0,0,1
280,2026-07-01,510,고객서비스·리테일,강원,2,0,0,1
281,2026-07-14,515,의료·제약·바이오,서울,32,2,1,0
282,2026-07-13,515,의료·제약·바이오,서울,32,2,1,1
283,2026-07-12,515,의료·제약·바이오,서울,32,1,1,1
284,2026-07-11,515,의료·제약·바이오,서울,31,2,1,1
285,2026-07-10,515,의료·제약·바이오,서울,32,1,1,1
286,2026-07-09,515,의료·제약·바이오,서울,31,1,1,1
287,2026-07-08,515,의료·제약·바이오,서울,32,1,1,1
288,2026-07-07,515,의료·제약·바이오,서울,32,2,1,1
289,2026-07-06,515,의료·제약·바이오,서울,31,2,1,1
290,2026-07-05,515,의료·제약·바이오,서울,32,1,1,1
291,2026-07-04,515,의료·제약·바이오,서울,31,2,0,1
292,2026-07-03,515,의료·제약·바이오,서울,32,1,1,1
293,2026-07-02,515,의료·제약·바이오,서울,31,2,1,1
294,2026-07-01,515,의료·제약·바이오,서울,32,1,1,1
295,2026-07-14,523,마케팅·광고,강원,3,0,0,0
296,2026-07-13,523,마케팅·광고,강원,3,0,0,1
297,2026-07-12,523,마케팅·광고,강원,3,0,0,1
298,2026-07-11,523,마케팅·광고,강원,3,0,0,1
299,2026-07-10,523,마케팅·광고,강원,3,0,0,1
300,2026-07-09,523,마케팅·광고,강원,3,0,0,1
301,2026-07-08,523,마케팅·광고,강원,3,0,0,1
302,2026-07-07,523,마케팅·광고,강원,3,0,0,1
303,2026-07-06,523,마케팅·광고,강원,3,0,0,1
304,2026-07-05,523,마케팅·광고,강원,3,0,0,1
305,2026-07-04,523,마케팅·광고,강원,3,0,0,1
306,2026-07-03,523,마케팅·광고,강원,3,0,0,1
307,2026-07-02,523,마케팅·광고,강원,3,0,0,1
308,2026-07-01,523,마케팅·광고,강원,3,0,0,1
309,2026-07-14,532,물류·무역,경기,28,2,1,0
310,2026-07-13,532,물류·무역,경기,29,1,1,1
311,2026-07-12,532,물류·무역,경기,28,1,1,1
312,2026-07-11,532,물류·무역,경기,28,2,1,1
313,2026-07-10,532,물류·무역,경기,27,1,1,1
314,2026-07-09,532,물류·무역,경기,27,1,1,1
315,2026-07-08,532,물류·무역,경기,27,1,1,1
316,2026-07-07,532,물류·무역,경기,26,1,1,1
317,2026-07-06,532,물류·무역,경기,27,1,1,1
318,2026-07-05,532,물류·무역,경기,26,1,0,1
319,2026-07-04,532,물류·무역,경기,26,1,0,1
320,2026-07-03,532,물류·무역,경기,26,2,1,1
321,2026-07-02,532,물류·무역,경기,25,1,0,1
322,2026-07-01,532,물류·무역,경기,24,1,1,1
323,2026-07-14,518,개발,대전,32,2,1,0
324,2026-07-13,518,개발,대전,33,2,0,1
325,2026-07-12,518,개발,대전,32,2,1,1
326,2026-07-11,518,개발,대전,31,2,1,1
327,2026-07-10,518,개발,대전,31,2,0,1
328,2026-07-09,518,개발,대전,31,1,1,1
329,2026-07-08,518,개발,대전,30,1,1,1
330,2026-07-07,518,개발,대전,29,1,0,1
331,2026-07-06,518,개발,대전,31,2,1,1
332,2026-07-05,518,개발,대전,30,1,0,1
333,2026-07-04,518,개발,대전,29,2,1,1
334,2026-07-03,518,개발,대전,29,1,1,1
335,2026-07-02,518,개발,대전,30,1,0,1
336,2026-07-01,518,개발,대전,29,1,1,1
337,2026-07-14,959,게임 제작,서울,39,2,1,0
338,2026-07-13,959,게임 제작,서울,38,1,1,1
339,2026-07-12,959,게임 제작,서울,39,1,1,1
340,2026-07-11,959,게임 제작,서울,39,1,2,1
341,2026-07-10,959,게임 제작,서울,40,1,1,1
342,2026-07-09,959,게임 제작,서울,39,2,1,1
343,2026-07-08,959,게임 제작,서울,38,2,1,1
344,2026-07-07,959,게임 제작,서울,39,1,1,1
345,2026-07-06,959,게임 제작,서울,40,2,1,1
346,2026-07-05,959,게임 제작,서울,39,2,1,1
347,2026-07-04,959,게임 제작,서울,41,2,1,1
348,2026-07-03,959,게임 제작,서울,42,2,1,1
349,2026-07-02,959,게임 제작,서울,41,1,1,1
350,2026-07-01,959,게임 제작,서울,40,1,1,1
351,2026-07-14,518,개발,제주,4,0,0,0
352,2026-07-13,518,개발,제주,4,0,0,1
353,2026-07-12,518,개발,제주,4,0,0,1
354,2026-07-11,518,개발,제주,4,0,0,1
355,2026-07-10,518,개발,제주,4,0,0,1
356,2026-07-09,518,개발,제주,4,0,0,1
357,2026-07-08,518,개발,제주,4,0,0,1
358,2026-07-07,518,개발,제주,4,0,0,1
359,2026-07-06,518,개발,제주,4,0,0,1
360,2026-07-05,518,개발,제주,4,0,0,1
361,2026-07-04,518,개발,제주,4,0,0,1
362,2026-07-03,518,개발,제주,4,0,0,1
363,2026-07-02,518,개발,제주,4,0,0,1
364,2026-07-01,518,개발,제주,4,0,0,1
365,2026-07-14,524,미디어,서울,207,9,5,0
366,2026-07-13,524,미디어,서울,210,13,5,1
367,2026-07-12,524,미디어,서울,211,9,3,1
368,2026-07-11,524,미디어,서울,207,11,6,1
369,2026-07-10,524,미디어,서울,203,10,3,1
370,2026-07-09,524,미디어,서울,204,6,4,1
371,2026-07-08,524,미디어,서울,205,8,3,1
372,2026-07-07,524,미디어,서울,206,10,4,1
373,2026-07-06,524,미디어,서울,212,12,3,1
374,2026-07-05,524,미디어,서울,206,5,3,1
375,2026-07-04,524,미디어,서울,202,11,5,1
376,2026-07-03,524,미디어,서울,201,9,4,1
377,2026-07-02,524,미디어,서울,207,7,6,1
378,2026-07-01,524,미디어,서울,203,11,6,1
379,2026-07-14,508,금융,서울,130,8,4,0
380,2026-07-13,508,금융,서울,132,6,2,1
381,2026-07-12,508,금융,서울,130,4,2,1
382,2026-07-11,508,금융,서울,126,4,4,1
383,2026-07-10,508,금융,서울,126,7,4,1
384,2026-07-09,508,금융,서울,121,6,3,1
385,2026-07-08,508,금융,서울,120,3,5,1
386,2026-07-07,508,금융,서울,117,4,2,1
387,2026-07-06,508,금융,서울,115,4,2,1
388,2026-07-05,508,금융,서울,120,7,3,1
389,2026-07-04,508,금융,서울,120,3,3,1
390,2026-07-03,508,금융,서울,125,6,2,1
391,2026-07-02,508,금융,서울,126,4,3,1
392,2026-07-01,508,금융,서울,124,6,3,1
393,2026-07-14,524,미디어,경기,14,0,0,0
394,2026-07-13,524,미디어,경기,14,1,0,1
395,2026-07-12,524,미디어,경기,15,1,0,1
396,2026-07-11,524,미디어,경기,15,0,0,1
397,2026-07-10,524,미디어,경기,15,1,0,1
398,2026-07-09,524,미디어,경기,15,1,0,1
399,2026-07-08,524,미디어,경기,16,1,0,1
400,2026-07-07,524,미디어,경기,16,1,0,1
401,2026-07-06,524,미디어,경기,17,1,0,1
402,2026-07-05,524,미디어,경기,17,1,0,1
403,2026-07-04,524,미디어,경기,18,1,0,1
404,2026-07-03,524,미디어,경기,17,1,0,1
405,2026-07-02,524,미디어,경기,17,0,0,1
406,2026-07-01,524,미디어,경기,16,1,0,1
407,2026-07-14,507,경영·비즈니스,경기,150,6,5,0
408,2026-07-13,507,경영·비즈니스,경기,151,4,2,1
409,2026-07-12,507,경영·비즈니스,경기,153,8,4,1
