id,skill_name,period_type,period_start,mention_count,delta_pct_vs_prev,is_demo
1,Python,week,2026-05-25,163,,1
2,Python,week,2026-06-01,193,18.4,1
3,Python,week,2026-06-08,230,19.17,1
4,Python,week,2026-06-15,272,18.26,1
5,Python,week,2026-06-22,323,18.75,1
6,Python,week,2026-06-29,384,18.89,1
7,Python,week,2026-07-06,455,18.49,1
8,Python,week,2026-07-13,540,18.68,0
9,AWS,week,2026-05-25,158,,1
10,AWS,week,2026-06-01,185,17.09,1
11,AWS,week,2026-06-08,217,17.3,1
12,AWS,week,2026-06-15,254,17.05,1
13,AWS,week,2026-06-22,298,17.32,1
14,AWS,week,2026-06-29,349,17.11,1
15,AWS,week,2026-07-06,408,16.91,1
16,AWS,week,2026-07-13,478,17.16,0
17,Git,week,2026-05-25,407,,1
18,Git,week,2026-06-01,403,-0.98,1
19,Git,week,2026-06-08,398,-1.24,1
20,Git,week,2026-06-15,394,-1.01,1
21,Git,week,2026-06-22,390,-1.02,1
22,Git,week,2026-06-29,386,-1.03,1
23,Git,week,2026-07-06,382,-1.04,1
24,Git,week,2026-07-13,378,-1.05,0
25,JavaScript,week,2026-05-25,378,,1
26,JavaScript,week,2026-06-01,372,-1.59,1
27,JavaScript,week,2026-06-08,365,-1.88,1
28,JavaScript,week,2026-06-15,358,-1.92,1
29,JavaScript,week,2026-06-22,352,-1.68,1
30,JavaScript,week,2026-06-29,345,-1.99,1
31,JavaScript,week,2026-07-06,339,-1.74,1
32,JavaScript,week,2026-07-13,333,-1.77,0
33,Java,week,2026-05-25,264,,1
34,Java,week,2026-06-01,267,1.14,1
35,Java,week,2026-06-08,269,0.75,1
36,Java,week,2026-06-15,272,1.12,1
37,Java,week,2026-06-22,275,1.1,1
38,Java,week,2026-06-29,278,1.09,1
39,Java,week,2026-07-06,281,1.08,1
40,Java,week,2026-07-13,284,1.07,0
41,React,week,2026-05-25,288,,1
42,React,week,2026-06-01,285,-1.04,1
43,React,week,2026-06-08,282,-1.05,1
44,React,week,2026-06-15,280,-0.71,1
45,React,week,2026-06-22,277,-1.07,1
46,React,week,2026-06-29,274,-1.08,1
47,React,week,2026-07-06,271,-1.09,1
48,React,week,2026-07-13,268,-1.11,0
49,Figma,week,2026-05-25,229,,1
50,Figma,week,2026-06-01,233,1.75,1
51,Figma,week,2026-06-08,237,1.72,1
52,Figma,week,2026-06-15,240,1.27,1
53,Figma,week,2026-06-22,245,2.08,1
54,Figma,week,2026-06-29,249,1.63,1
55,Figma,week,2026-07-06,253,1.61,1
56,Figma,week,2026-07-13,257,1.58,0
57,Notion,week,2026-05-25,254,,1
58,Notion,week,2026-06-01,251,-1.18,1
59,Notion,week,2026-06-08,249,-0.8,1
60,Notion,week,2026-06-15,246,-1.2,1
61,Notion,week,2026-06-22,244,-0.81,1
62,Notion,week,2026-06-29,241,-1.23,1
63,Notion,week,2026-07-06,238,-1.24,1
64,Notion,week,2026-07-13,236,-0.84,0
65,SQL,week,2026-05-25,280,,1
66,SQL,week,2026-06-01,273,-2.5,1
67,SQL,week,2026-06-08,267,-2.2,1
68,SQL,week,2026-06-15,260,-2.62,1
69,SQL,week,2026-06-22,254,-2.31,1
70,SQL,week,2026-06-29,248,-2.36,1
71,SQL,week,2026-07-06,242,-2.42,1
72,SQL,week,2026-07-13,236,-2.48,0
73,Docker,week,2026-05-25,67,,1
74,Docker,week,2026-06-01,79,17.91,1
75,Docker,week,2026-06-08,94,18.99,1
76,Docker,week,2026-06-15,112,19.15,1
77,Docker,week,2026-06-22,133,18.75,1
78,Docker,week,2026-06-29,158,18.8,1
79,Docker,week,2026-07-06,188,18.99,1
80,Docker,week,2026-07-13,223,18.62,0
81,TypeScript,week,2026-05-25,59,,1
82,TypeScript,week,2026-06-01,71,20.34,1
83,TypeScript,week,2026-06-08,86,21.13,1
84,TypeScript,week,2026-06-15,104,20.93,1
85,TypeScript,week,2026-06-22,125,20.19,1
86,TypeScript,week,2026-06-29,150,20.0,1
87,TypeScript,week,2026-07-06,181,20.67,1
88,TypeScript,week,2026-07-13,218,20.44,0
89,Adobe Illustrator,week,2026-05-25,221,,1
90,Adobe Illustrator,week,2026-06-01,220,-0.45,1
91,Adobe Illustrator,week,2026-06-08,218,-0.91,1
92,Adobe Illustrator,week,2026-06-15,216,-0.92,1
93,Adobe Illustrator,week,2026-06-22,215,-0.46,1
94,Adobe Illustrator,week,2026-06-29,213,-0.93,1
95,Adobe Illustrator,week,2026-07-06,212,-0.47,1
96,Adobe Illustrator,week,2026-07-13,210,-0.94,0
97,Slack,week,2026-05-25,235,,1
98,Slack,week,2026-06-01,231,-1.7,1
99,Slack,week,2026-06-08,227,-1.73,1
100,Slack,week,2026-06-15,224,-1.32,1
101,Slack,week,2026-06-22,220,-1.79,1
102,Slack,week,2026-06-29,216,-1.82,1
103,Slack,week,2026-07-06,213,-1.39,1
104,Slack,week,2026-07-13,209,-1.88,0
105,Adobe Photoshop,week,2026-05-25,211,,1
106,Adobe Photoshop,week,2026-06-01,210,-0.47,1
107,Adobe Photoshop,week,2026-06-08,210,0.0,1
108,Adobe Photoshop,week,2026-06-15,209,-0.48,1
109,Adobe Photoshop,week,2026-06-22,209,0.0,1
110,Adobe Photoshop,week,2026-06-29,209,0.0,1
111,Adobe Photoshop,week,2026-07-06,208,-0.48,1
112,Adobe Photoshop,week,2026-07-13,208,0.0,0
113,Spring Framework,week,2026-05-25,191,,1
114,Spring Framework,week,2026-06-01,191,0.0,1
115,Spring Framework,week,2026-06-08,191,0.0,1
116,Spring Framework,week,2026-06-15,191,0.0,1
117,Spring Framework,week,2026-06-22,191,0.0,1
118,Spring Framework,week,2026-06-29,190,-0.52,1
119,Spring Framework,week,2026-07-06,190,0.0,1
120,Spring Framework,week,2026-07-13,190,0.0,0
121,C++,week,2026-05-25,161,,1
122,C++,week,2026-06-01,164,1.86,1
123,C++,week,2026-06-08,168,2.44,1
124,C++,week,2026-06-15,172,2.38,1
125,C++,week,2026-06-22,176,2.33,1
126,C++,week,2026-06-29,180,2.27,1
127,C++,week,2026-07-06,185,2.78,1
128,C++,week,2026-07-13,189,2.16,0
129,MySQL,week,2026-05-25,219,,1
130,MySQL,week,2026-06-01,214,-2.28,1
131,MySQL,week,2026-06-08,209,-2.34,1
132,MySQL,week,2026-06-15,205,-1.91,1
133,MySQL,week,2026-06-22,201,-1.95,1
134,MySQL,week,2026-06-29,196,-2.49,1
135,MySQL,week,2026-07-06,192,-2.04,1
136,MySQL,week,2026-07-13,188,-2.08,0
137,Excel,week,2026-05-25,153,,1
138,Excel,week,2026-06-01,157,2.61,1
139,Excel,week,2026-06-08,161,2.55,1
140,Excel,week,2026-06-15,165,2.48,1
141,Excel,week,2026-06-22,170,3.03,1
142,Excel,week,2026-06-29,174,2.35,1
143,Excel,week,2026-07-06,178,2.3,1
144,Excel,week,2026-07-13,183,2.81,0
145,Google Analytics,week,2026-05-25,181,,1
146,Google Analytics,week,2026-06-01,181,0.0,1
147,Google Analytics,week,2026-06-08,180,-0.55,1
148,Google Analytics,week,2026-06-15,180,0.0,1
149,Google Analytics,week,2026-06-22,179,-0.56,1
150,Google Analytics,week,2026-06-29,179,0.0,1
151,Google Analytics,week,2026-07-06,178,-0.56,1
152,Google Analytics,week,2026-07-13,178,0.0,0
153,HTML,week,2026-05-25,184,,1
154,HTML,week,2026-06-01,182,-1.09,1
155,HTML,week,2026-06-08,181,-0.55,1
156,HTML,week,2026-06-15,180,-0.55,1
157,HTML,week,2026-06-22,179,-0.56,1
158,HTML,week,2026-06-29,177,-1.12,1
159,HTML,week,2026-07-06,176,-0.56,1
160,HTML,week,2026-07-13,175,-0.57,0
161,PyTorch,week,2026-05-25,74,,1
162,PyTorch,week,2026-06-01,83,12.16,1
163,PyTorch,week,2026-06-08,92,10.84,1
164,PyTorch,week,2026-06-15,103,11.96,1
165,PyTorch,week,2026-06-22,115,11.65,1
166,PyTorch,week,2026-06-29,128,11.3,1
167,PyTorch,week,2026-07-06,143,11.72,1
168,PyTorch,week,2026-07-13,160,11.89,0
169,마케팅 전략,week,2026-05-25,130,,1
170,마케팅 전략,week,2026-06-01,132,1.54,1
171,마케팅 전략,week,2026-06-08,134,1.52,1
172,마케팅 전략,week,2026-06-15,136,1.49,1
173,마케팅 전략,week,2026-06-22,137,0.74,1
174,마케팅 전략,week,2026-06-29,139,1.46,1
175,마케팅 전략,week,2026-07-06,141,1.44,1
176,마케팅 전략,week,2026-07-13,143,1.42,0
177,GitHub,week,2026-05-25,134,,1
178,GitHub,week,2026-06-01,135,0.75,1
179,GitHub,week,2026-06-08,137,1.48,1
180,GitHub,week,2026-06-15,138,0.73,1
181,GitHub,week,2026-06-22,139,0.72,1
182,GitHub,week,2026-06-29,140,0.72,1
183,GitHub,week,2026-07-06,141,0.71,1
184,GitHub,week,2026-07-13,142,0.71,0
185,Kubernetes,week,2026-05-25,35,,1
186,Kubernetes,week,2026-06-01,42,20.0,1
187,Kubernetes,week,2026-06-08,51,21.43,1
188,Kubernetes,week,2026-06-15,62,21.57,1
189,Kubernetes,week,2026-06-22,76,22.58,1
190,Kubernetes,week,2026-06-29,92,21.05,1
191,Kubernetes,week,2026-07-06,113,22.83,1
192,Kubernetes,week,2026-07-13,137,21.24,0
193,Node.js,week,2026-05-25,147,,1
194,Node.js,week,2026-06-01,145,-1.36,1
195,Node.js,week,2026-06-08,142,-2.07,1
196,Node.js,week,2026-06-15,140,-1.41,1
197,Node.js,week,2026-06-22,137,-2.14,1
198,Node.js,week,2026-06-29,135,-1.46,1
