tag_id,tag_name,snapshot_date,avg_applicants,avg_pass_rate,is_demo
10510,차량지원,2026-07-14,14.3,19.8,1
10525,일본 현지 취업,2026-07-14,15.9,21.8,1
10524,일본어 활용,2026-07-14,14.0,15.6,1
10523,원티드 픽,2026-07-14,12.8,24.7,1
10522,인턴,2026-07-14,7.0,16.5,1
10521,예비 유니콘,2026-07-14,11.0,27.8,1
10520,출산육아휴직,2026-07-14,11.1,13.0,1
10519,장애인전형,2026-07-14,10.9,10.1,1
10513,전문연구요원,2026-07-14,15.8,10.8,1
10512,산업기능요원,2026-07-14,9.6,25.4,1
10511,통신비,2026-07-14,4.4,20.6,1
10526,외국어 능통자 우대,2026-07-14,9.8,26.0,1
10509,유연근무,2026-07-14,29.5,35.7,1
10508,재택근무,2026-07-14,21.4,37.5,1
10492,아기 유니콘,2026-07-14,4.1,24.6,1
10486,AI 선도 기업,2026-07-14,15.4,12.7,1
10484,일·가정 양립,2026-07-14,7.5,23.0,1
10466,금융업계,2026-07-14,5.1,19.6,1
10462,워크샵,2026-07-14,7.7,24.1,1
10447,유망산업,2026-07-14,14.3,24.9,1
10444,자율복장,2026-07-14,4.3,19.1,1
10443,사내동호회,2026-07-14,13.3,27.5,1
10602,모빌리티산업,2026-07-14,8.9,25.8,1
10685,유리한 지원 경쟁률,2026-07-14,8.4,19.3,1
10683,포스텍홀딩스 투자기업,2026-07-14,11.6,27.2,1
10682,Global Recruiting Carnival,2026-07-14,4.8,27.9,1
10680,스파크랩 투자기업,2026-07-14,8.0,10.7,1
10677,더벤처스 투자기업,2026-07-14,9.1,15.4,1
10675,글로벌 TOP 기업,2026-07-14,15.4,20.8,1
10665,매쉬업벤처스 투자기업,2026-07-14,13.5,25.8,1
10656,퓨처플레이 투자기업,2026-07-14,5.0,27.6,1
10655,IBK창공 투자기업,2026-07-14,12.8,11.1,1
10603,대기업,2026-07-14,15.3,23.5,1
10442,닉네임사용,2026-07-14,14.7,12.2,1
10601,유통산업,2026-07-14,8.4,22.4,1
10600,이커머스산업,2026-07-14,8.4,13.5,1
10599,미디어산업,2026-07-14,10.7,11.3,1
10598,뷰티산업,2026-07-14,12.5,14.1,1
10597,누적투자100억이상,2026-07-14,15.8,14.8,1
10593,장애인우대,2026-07-14,5.4,19.6,1
10592,병역특례,2026-07-14,15.3,21.6,1
10574,계약직,2026-07-14,15.5,14.2,1
10564,대규모 채용 중,2026-07-14,12.9,14.5,1
10537,적극 채용 중,2026-07-14,8.2,15.3,1
10406,"10,001명이상",2026-07-14,12.2,15.5,1
10418,육아휴직,2026-07-14,4.8,16.9,1
10417,리프레시휴가,2026-07-14,9.8,20.5,1
10416,자유로운휴가,2026-07-14,5.5,24.2,1
10415,주4일근무,2026-07-14,27.5,37.1,1
10414,주35시간,2026-07-14,7.5,22.4,1
10411,퇴사율6~10%,2026-07-14,13.6,28.9,1
10410,퇴사율5%이하,2026-07-14,13.7,28.8,1
10409,설립10년이상,2026-07-14,4.8,27.8,1
10408,설립4~9년,2026-07-14,9.5,11.6,1
10407,설립3년이하,2026-07-14,14.8,15.8,1
10419,출산휴가,2026-07-14,15.5,12.2,1
10405,"1,001~10,000명",2026-07-14,7.3,23.9,1
10404,"301~1,000명",2026-07-14,10.0,27.5,1
10403,51~300명,2026-07-14,10.2,22.5,1
10402,50명이하,2026-07-14,7.5,29.4,1
10401,인원 급성장,2026-07-14,10.5,12.6,1
10400,인원성장,2026-07-14,8.2,18.9,1
10399,연봉상위11~20%,2026-07-14,11.7,15.8,1
10398,연봉상위6~10%,2026-07-14,4.8,27.4,1
10397,연봉상위2~5%,2026-07-14,6.8,28.9,1
10396,연봉상위1%,2026-07-14,11.7,18.2,1
10431,스톡옵션,2026-07-14,22.8,39.0,1
10441,수평적조직,2026-07-14,7.9,21.9,1
10440,편의시설,2026-07-14,12.4,26.8,1
10439,장비지원,2026-07-14,9.3,16.1,1
10438,휴가비,2026-07-14,5.6,25.8,1
10437,식대지원,2026-07-14,6.1,15.2,1
10436,커피·스낵바,2026-07-14,9.8,29.4,1
10435,해외연수,2026-07-14,13.2,10.9,1
10434,주차지원,2026-07-14,8.2,19.1,1
10433,자기계발지원,2026-07-14,6.0,28.5,1
10432,임직원할인,2026-07-14,12.5,15.7,1
10395,연봉 업계평균이상,2026-07-14,15.7,26.8,1
10430,대출지원,2026-07-14,12.3,23.3,1
10427,복지포인트,2026-07-14,20.1,32.0,1
10426,보너스,2026-07-14,4.5,16.3,1
10425,의료비지원,2026-07-14,5.5,15.2,1
10424,단체보험,2026-07-14,6.2,21.2,1
10423,건강검진지원,2026-07-14,4.4,16.3,1
10422,어린이돌봄,2026-07-14,8.1,17.5,1
10421,무제한연차,2026-07-14,25.6,30.8,1
10420,유급휴가,2026-07-14,7.6,28.4,1
