id,status,name,company_id,company_name,employment_type,additional_apply_type,due_time,country,location,full_location,reward_total,reward_recommender,reward_recommendee,category_parent,category_children,url
374895,active,상품 기획 담당자 (제과/초콜릿),14940,라라스윗,regular,,,한국,서울,서울시 강남구 영동대로 333 동원빌딩,"￦1,000,000","￦500,000","￦500,000",경영·비즈니스,상품기획자(BM),https://www.wanted.co.kr/wd/374895?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374801,active,Product Manager,162,아이지넷(보닥),regular,,,한국,서울,"서울 송파구 법원로8길 9 (문정동,청림타워)","￦1,000,000","￦500,000","￦500,000",경영·비즈니스,서비스 기획자,https://www.wanted.co.kr/wd/374801?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374913,active,AI Project Leader,3487,애자일소다,regular,,2026-08-31,한국,서울,서울시 강남구 선릉로 525 인포스톰빌딩 3층,"￦1,000,000","￦500,000","￦500,000",경영·비즈니스,PM·PO,https://www.wanted.co.kr/wd/374913?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374822,active,Global Sales Manager,8579,비햅틱스,regular,foreigner,,한국,서울,"서울 중구 세종대로12길 12, 4층 비햅틱스","￦1,000,000","￦500,000","￦500,000",영업,주요고객사 담당자,https://www.wanted.co.kr/wd/374822?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374870,active,[AI CX사업부문] QA 엔지니어,1760,플래티어,regular,,,한국,서울,서울시 송파구 법원로9길 26  H Business Park D동 6층,"￦1,000,000","￦500,000","￦500,000",개발,"QA,테스트 엔지니어",https://www.wanted.co.kr/wd/374870?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
368075,active,Data Engineer (Platform),24000,토스뱅크,regular,,,한국,서울,서울특별시 강남구 테헤란로 131,"￦1,000,000","￦500,000","￦500,000",개발,데이터 엔지니어,https://www.wanted.co.kr/wd/368075?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
354478,active,[인턴] Android 개발자,8185,비모소프트,intern,,2026-08-08,한국,경기,경기도 안양시 동안구 시민대로 327번길 11-35 (관양동) 엠투아이건물 4층,"￦1,000,000","￦500,000","￦500,000",개발,안드로이드 개발자,https://www.wanted.co.kr/wd/354478?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
355442,active,[인턴] iOS 개발자,8185,비모소프트,intern,,2026-08-08,한국,경기,경기도 안양시 동안구 시민대로 327번길 11-35 (관양동) 엠투아이건물 4층,"￦1,000,000","￦500,000","￦500,000",개발,iOS 개발자,https://www.wanted.co.kr/wd/355442?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374821,active,AstraGo Pre-Sales 1년 이상,20337,씨이랩,regular,,,한국,서울,"서울특별시 강남구 언주로 617, 4층 씨이랩","￦1,000,000","￦500,000","￦500,000",영업,영업 관리자;기술영업;외부영업,https://www.wanted.co.kr/wd/374821?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
373244,active,[디자인본부] 밀크터치 패키지 디자이너,10318,올리브인터내셔널,regular,,,한국,서울,"서울 서초구 서초대로 398, 그레이츠 강남 14층 올리브인터내셔널","￦1,000,000","￦500,000","￦500,000",디자인,패키지 디자이너,https://www.wanted.co.kr/wd/373244?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
317565,active,백엔드 개발자 (Backend Developer),36829,렌트리,regular,,,한국,서울,"서울 마포구 마포대로 122, 17층","￦1,000,000","￦500,000","￦500,000",개발,서버 개발자;파이썬 개발자;자바 개발자,https://www.wanted.co.kr/wd/317565?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
163208,active,콘텐츠 PM [신규 분야],1939,코드잇(codeit),regular,,,한국,서울,중구 청계천로 100 시그니쳐타워 동관 10층,"￦1,000,000","￦500,000","￦500,000",교육,교재·교육기획,https://www.wanted.co.kr/wd/163208?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
331647,active,Product Manager(PM),36829,렌트리,regular,,,한국,서울,"서울 마포구 마포대로 122, 17층","￦1,000,000","￦500,000","￦500,000",경영·비즈니스,데이터 분석가;서비스 기획자;PM·PO,https://www.wanted.co.kr/wd/331647?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
359276,active,AI 오퍼레이션 엔지니어 (AI Operations Engineer),36829,렌트리,regular,,,한국,서울,"서울 마포구 마포대로 122, 신용보증기금빌딩 17층","￦1,000,000","￦500,000","￦500,000",개발,DevOps / 시스템 관리자;개발 매니저;데이터 엔지니어,https://www.wanted.co.kr/wd/359276?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
364718,active,"영업 컨설턴트 슈퍼바이저(Consultant Supervisor, SV)",36829,렌트리,regular,,,한국,서울,"서울 마포구 마포대로 122, 신용보증기금빌딩 17층","￦1,000,000","￦500,000","￦500,000",고객서비스·리테일,CS 어드바이저;CS 매니저;아웃바운드 텔레마케터,https://www.wanted.co.kr/wd/364718?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374815,active,디자이너,11488,제이케이엠디자인,regular,,,한국,서울,종로구 삼청로135-5 ,"￦1,000,000","￦500,000","￦500,000",디자인,"영상,모션 디자이너;콘텐츠 디자이너;BI/BX 디자이너",https://www.wanted.co.kr/wd/374815?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
367943,active,HR&GA 매니저,36829,렌트리,regular,,,한국,서울,"서울 마포구 마포대로 122, 신용보증기금빌딩 17층","￦1,000,000","￦500,000","￦500,000",HR,HRBP;조직문화;인사담당,https://www.wanted.co.kr/wd/367943?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
370242,active,세일즈 상담 품질 매니저(QA Manager),36829,렌트리,regular,,,한국,서울,"서울 마포구 마포대로 122, 신용보증기금빌딩 17층","￦1,000,000","￦500,000","￦500,000",고객서비스·리테일,인바운드 텔레마케터;CS 어드바이저;CS 매니저,https://www.wanted.co.kr/wd/370242?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
371524,active,"그로스 마케터(Growth Marketer, 3년 이상)",36829,렌트리,regular,,,한국,서울,"서울 마포구 마포대로 122, 17층","￦1,000,000","￦500,000","￦500,000",마케팅·광고,퍼포먼스 마케터;마케터;마케팅 전략 기획자,https://www.wanted.co.kr/wd/371524?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374798,active,Recruiting Business Partner,28467,메라키플레이스,regular,,,한국,서울,"서울 강남구 테헤란로 242, 패스트파이브 4층","￦1,000,000","￦500,000","￦500,000",HR,HRBP;인사담당;리크루터,https://www.wanted.co.kr/wd/374798?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
372984,active,기술 영업 오퍼레이션 담당자,23241,한국딥러닝,regular,,2026-07-31,한국,서울,서초구 강남대로89길 30,"￦1,000,000","￦500,000","￦500,000",영업,기술영업;솔루션 컨설턴트;기업영업,https://www.wanted.co.kr/wd/372984?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
336604,active,[리들샷/글로벌] 해외영업(동남아B2B),15694,브이티코스메틱,regular,foreigner,,한국,서울,서울특별시 강남구 삼성로76길 23,"￦1,000,000","￦500,000","￦500,000",영업,미디어 세일즈;해외영업,https://www.wanted.co.kr/wd/336604?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374904,active,[세일즈] KR Channel Team - AMD(자사몰),27713,에프앤엘코퍼레이션,regular,,,한국,서울,"서울 영등포구 영등포로 150, 생각공장 당산 C동 14층","￦1,000,000","￦500,000","￦500,000",고객서비스·리테일,MD,https://www.wanted.co.kr/wd/374904?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374807,active,주니어/시니어 AI Engineer(전문연구요원 가능),9629,이지케어텍,regular,,,한국,서울,서울 중구 퇴계로 307 광희빌딩 이지케어텍,"￦1,000,000","￦500,000","￦500,000",개발,"기술지원;QA,테스트 엔지니어;머신러닝 엔지니어",https://www.wanted.co.kr/wd/374807?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
368334,active,AI Project Manager,10997,엘박스,regular,,,한국,서울,"서울특별시 강남구 테헤란로 306, 카이트타워 5층","￦1,000,000","￦500,000","￦500,000",경영·비즈니스,서비스 기획자;PM·PO,https://www.wanted.co.kr/wd/368334?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374471,active,개발자,43294,에이비에이치,contract,,,한국,울산,"울산광역시 중구 종가로 406-21, D동 203-206호 주식회사 에이비에이치","￦200,000","￦100,000","￦100,000",개발,자바 개발자;Node.js 개발자,https://www.wanted.co.kr/wd/374471?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
